id,name,lastBackup,url
"375282272549433","المكتب الاعلامي في مدينة نوى",2014-05-07T16:01:01Z,"mediaoffice.nawa"
"418875378166459","Use it ولك",2014-05-07T16:02:26Z,"wlakuseit"
"209332405757062","The Syrian Revolution | الثورة السورية",2014-05-07T16:00:20Z,"SyrianRevolution2"
"523004674462541","ЄвроМайдан – EuroMaydan",2014-05-07T14:06:37Z,"EuroMaydan"
"245764402264908","لجنة الدعم الإعلامي للثورة العراقية/ الصفحة الرسمية",2014-05-07T16:02:21Z,"msciq"
"420796315726","The Syrian Revolution 2011 الثورة السورية ضد بشار الاسد",2014-05-07T14:07:31Z,"Syrian.Revolution"
"453010751476017","The Arab Chronicle يوميات الربيع العربي, by - par Cédric Labrousse",2014-05-07T14:11:49Z,"the.arab.chronicle"
"500341836723427","أحرار و حرائر كلية الصيدلة جامعة حلب",2014-05-07T14:02:56Z,"500341836723427"
"584129914","Silvio Cesare",2014-05-07T14:13:57Z,"silvio.cesare"
"165780076805908","S.N.N | شبكة شام",2014-05-07T14:14:10Z,"ShaamNews"
"526176844","Tim Noise",2014-05-07T16:00:23Z,"init.d"
"169530483094497","محمد كريشان",2014-05-07T14:14:03Z,"169530483094497"
"537011102992127","Kafranbel Syrian Revolution",2014-05-07T14:04:34Z,"kafrev"
"252281151467804","La Revolution Syrienne en Français",2014-05-05T13:53:24Z,"La.Revolution.Syrienne.en.Francais"
"264911003657318","Euromaidan in English",2014-05-07T16:01:46Z,"EnglishMaidan"
"250521655037317","Syrian Network for Human Rights الشبكة السورية لحقوق الإنسان",2014-05-07T16:02:05Z,"sn4hr.eng"
"217848338242310","لجان التنسيق المحلية في سوريا",2014-05-07T14:11:45Z,"LCCSy"
"283836371657212","وديع طعمة",2014-05-07T14:03:18Z,"wadehtohmeh"
"378067915609677","الائتلاف الوطني لقوى الثورة والمعارضة السورية",2014-05-07T16:01:02Z,"SyrianNationalCoalition"
"485834531461495","Syrian Economic Forum المنتدى الاقتصادي السوري",2014-05-07T14:02:57Z,"SyrianEconomicForum"
"705313576159791","Like for Syria - لايك لأجل سوريا",2014-05-07T14:03:23Z,"like4syria"
"269785403126479","بصمة سورية",2014-05-07T14:11:18Z,"basma4syria"
"794879937205201","تنسيقية حي برزة - الثورة السورية في مدينة دمشق.",2014-05-07T14:02:53Z,"Barzeh.rev"
"100004309653523","Nuri Homs",2014-05-07T16:02:24Z,"nuri.homs.5"
"499726943373552","Damas Sweets",2014-05-07T14:02:44Z,"damassweets"
"154452061274763","Sham fm شام اف ام",2014-05-07T14:10:55Z,"radioshamfm"
"179812892206423","الوية الفرقان_الصفحة الرسمية",2014-05-07T16:01:55Z,"alWYAt.alfurqaan"
"100002436866034","Eveen Sukar",2014-05-07T14:03:24Z,"eveen.sukar"
"143531715812690","نكتجية لبنانية",2014-05-07T14:12:46Z,"Nekatjiyi.lebneniyi"
"328973413908198","المركز الإعلامي في القلمون- Qalamon Media Center",2014-05-07T14:10:36Z,"Qalamon1"
"100000371714167","Musef Hilfawi",2014-05-07T16:02:13Z,"musefh"
"100000495005216","Mohammad Rasho",2014-05-07T16:02:02Z,"mehmatReso"
"100002371725710","ابو علي جهاد بركات",2014-05-07T14:11:33Z,"entesar.alassad"
"239984009513039","هيئة دروع الثورة",2014-05-07T14:05:30Z,"rsc.syria"
"100003107584019","Ghassan Abdulfatah",2014-05-07T16:01:29Z,"ghassan.abdulfatah"
"100002298138230","الصفر السوري",2014-05-07T16:02:23Z,"SyrianZer0"
"242799595892410","ﺗﻨﺴﻴﻘﻴﺔ ﻣﺤﺎﻓﻅﺔ ﺍﻟﺴﻭﻳﺪﺍﺀ",2014-05-07T14:12:04Z,"sweida.llc"
"165314130230311","أخبار شباب سورية",2014-05-07T14:03:00Z,"SyriaYouthNews"
"600564226663361","لواء توحيد الشام",2014-05-07T14:11:22Z,"lewaatawhedalsham"
"436337196452071","National Coalition Of Syrian Revolution and Opposition Forces",2014-05-07T14:12:29Z,"SyrianNationalCoalition.en"
"133293440189295","Syrian Embassy in Qatar",2014-05-07T16:02:35Z,"133293440189295"
"1430692483827740","حمص الحدث Homs Event",2014-05-07T16:02:17Z,"HomsEvent1"
"498600166875919","المنبر / Alminbar",2014-05-07T14:09:53Z,"Alminbaar"
"762514660443131","عصائب اهل المصائب ملفات فاسدة عن هذة التنظيم الامريكي اليهودي",2014-05-07T14:12:49Z,"762514660443131"
"199844040180498","تعرف حالك رقاوي لما",2014-05-07T14:11:17Z,"raqqawe2"
"100002001740981","أبو علي الشامي",2014-05-07T16:00:47Z,"aboalialshamy"
